Aircraft,Origin,Type,Variant
Dassault Rafale,France,Multirole,DH
HAL Tejas,India,Multirole,Mk.1
Sukhoi Su-30MKI,Russia,Multirole,Su-30MKI Flanker H
Mikoyan MiG-29,Soviet Union,Multirole,Fulcrum
Dassault Mirage 2000,France,Multirole,-2000H
SEPECAT Jaguar,United Kingdom,Attack,IB
Mikoyan-Gurevich MiG-21,Soviet Union,Interceptor,MiG-21 Bison
Embraer R-99,Brazil,AEW&C,Netra Mk1
Beriev A-50,Soviet Union,AEW&C,A-50EI
Boeing 707,United States,SIGINT,707-337C Phalcon
Ilyushin Il-78,Soviet Union,aerial refuelling,Il-78MKI
Boeing 777,United States,VIP transport,777-300ER
Embraer Legacy 600,Brazil,VIP transport,
Boeing C-17,United States,strategic airlifter,
Ilyushin Il-76,Soviet Union,strategic airlifter,Il-76MD
C-130J Super Hercules,United States,tactical airlifter,C-130J-30
Airbus A321,Europe,transport,A321-200
Antonov An-32,Soviet Union,tactical airlifter,
Airbus C-295,Spain,tactical airlifter,C-295W
Hawker Siddeley HS 748,United Kingdom,tactical airlifter,
Dornier 228,Germany,tactical airlifter,228-201
Boeing AH-64,United States,attack,AH-64E
Mil Mi-24,Russia,attack,Mi-25/35
HAL Prachand,India,attack,
HAL Rudra,India,attack,
CH-47 Chinook,United States,transport,CH-47F
Mil Mi-17,Russia,utility,Mi-17V-5
HAL Dhruv,India,utility,
HAL Light Utility Helicopter,India,utility,
Alouette III,France/India,liaison,Chetak
BAE Hawk,United Kingdom,Advanced trainer,Hawk 132
HAL Kiran,India,Intermediate trainer,
HAL HTT-40,India,Basic trainer,
Pilatus PC-7,Switzerland,Basic trainer,Mk II
Pipistrel Virus,Slovenia,Ab initio trainer,
IAI Heron,Israel,Surveillance,Mk 1
MQ-9 Reaper,United States,Surveillance,SkyGuardian
ALS-50,India,loitering munition,
